Time,Numerical,Analytical,Relative Error
0.438,0.6454670305,0.6453257829,0.0002188780598
0.439,0.6448222083,0.6446807796,0.0002193778362
0.44,0.6441780303,0.6440364211,0.0002198776128
0.441,0.6435344958,0.6433927066,0.0002203773898
0.442,0.6428916042,0.6427496355,0.0002208771669
0.443,0.6422493548,0.6421072071,0.0002213769443
0.444,0.6416077471,0.6414654208,0.000221876722
0.445,0.6409667803,0.640824276,0.0002223764999
0.446,0.6403264538,0.6401837721,0.000222876278
0.447,0.6396867671,0.6395439083,0.0002233760564
0.448,0.6390477194,0.638904684,0.0002238758351
0.449,0.63840931,0.6382660987,0.000224375614
0.45,0.6377715385,0.6376281516,0.0002248753932
0.451,0.6371344041,0.6369908422,0.0002253751726
0.452,0.6364979062,0.6363541697,0.0002258749522
0.453,0.6358620441,0.6357181336,0.0002263747321
0.454,0.6352268173,0.6350827332,0.0002268745123
0.455,0.6345922251,0.6344479679,0.0002273742927
0.456,0.6339582668,0.6338138371,0.0002278740733
0.457,0.6333249419,0.6331803401,0.0002283738542
0.458,0.6326922496,0.6325474762,0.0002288736354
0.459,0.6320601895,0.6319152449,0.0002293734168
0.46,0.6314287607,0.6312836455,0.0002298731984
0.461,0.6307979627,0.6306526774,0.0002303729803
0.462,0.6301677949,0.6300223399,0.0002308727625
0.463,0.6295382567,0.6293926325,0.0002313725449
0.464,0.6289093473,0.6287635545,0.0002318723275
0.465,0.6282810663,0.6281351052,0.0002323721104
0.466,0.6276534129,0.627507284,0.0002328718936
0.467,0.6270263865,0.6268800904,0.000233371677
0.468,0.6263999865,0.6262535237,0.0002338714606
0.469,0.6257742123,0.6256275832,0.0002343712445
0.47,0.6251490632,0.6250022683,0.0002348710287
0.471,0.6245245387,0.6243775784,0.0002353708131
0.472,0.623900638,0.6237535129,0.0002358705977
0.473,0.6232773607,0.6231300712,0.0002363703826
0.474,0.622654706,0.6225072526,0.0002368701678
0.475,0.6220326733,0.6218850565,0.0002373699532
0.476,0.621411262,0.6212634822,0.0002378697388
0.477,0.6207904716,0.6206425293,0.0002383695247
0.478,0.6201703013,0.620022197,0.0002388693109
0.479,0.6195507505,0.6194024847,0.0002393690973
0.48,0.6189318187,0.6187833918,0.0002398688839
0.481,0.6183135052,0.6181649177,0.0002403686708
0.482,0.6176958094,0.6175470618,0.000240868458
0.483,0.6170787306,0.6169298234,0.0002413682454
0.484,0.6164622684,0.6163132019,0.000241868033
0.485,0.615846422,0.6156971968,0.0002423678209
0.486,0.6152311908,0.6150818073,0.000242867609
0.487,0.6146165742,0.6144670329,0.0002433673974
0.488,0.6140025716,0.613852873,0.0002438671861
0.489,0.6133891824,0.613239327,0.000244366975
0.49,0.612776406,0.6126263942,0.0002448667641
0.491,0.6121642418,0.612014074,0.0002453665535
0.492,0.6115526891,0.6114023658,0.0002458663431
0.493,0.6109417473,0.6107912691,0.000246366133
0.494,0.6103314159,0.6101807831,0.0002468659232
0.495,0.6097216942,0.6095709073,0.0002473657136
0.496,0.6091125817,0.6089616411,0.0002478655042
0.497,0.6085040776,0.6083529838,0.0002483652951
0.498,0.6078961814,0.6077449349,0.0002488650863
0.499,0.6072888925,0.6071374937,0.0002493648776
0.5,0.6066822103,0.6065306597,0.0002498646693
0.501,0.6060761342,0.6059244322,0.0002503644612
0.502,0.6054706635,0.6053188106,0.0002508642533
0.503,0.6048657977,0.6047137944,0.0002513640457
0.504,0.6042615362,0.6041093829,0.0002518638383
0.505,0.6036578783,0.6035055754,0.0002523636312
0.506,0.6030548235,0.6029023715,0.0002528634244
0.507,0.6024523711,0.6022997705,0.0002533632178
0.508,0.6018505206,0.6016977718,0.0002538630114
0.509,0.6012492713,0.6010963747,0.0002543628053
0.51,0.6006486227,0.6004955788,0.0002548625994
0.511,0.6000485741,0.5998953834,0.0002553623938
0.512,0.599449125,0.5992957878,0.0002558621885
0.513,0.5988502747,0.5986967916,0.0002563619833
0.514,0.5982520227,0.5980983941,0.0002568617785
0.515,0.5976543683,0.5975005946,0.0002573615739
0.516,0.597057311,0.5969033927,0.0002578613695
0.517,0.5964608502,0.5963067876,0.0002583611654
0.518,0.5958649852,0.5957107789,0.0002588609615
0.519,0.5952697154,0.5951153659,0.0002593607579
0.52,0.5946750404,0.594520548,0.0002598605545
0.521,0.5940809595,0.5939263246,0.0002603603514
0.522,0.593487472,0.5933326951,0.0002608601486
